SUBSYSTEM	Rxn.name	HMDB.ID	N_met	hit_n	hit_HMDB_ID	ES	pvalue_nominal	NES	FDR_pri	FDR
Estrogen metabolism	MAR02029;MAR02030;MAR02031;MAR02032;MAR02033;MAR02034;MAR02036;MAR02037;MAR02038;MAR02042;MAR02043;MAR02044;MAR02045;MAR02046;MAR02047;MAR02048;MAR02049;MAR02050;MAR02051;MAR02052;MAR02053;MAR02054;MAR02055;MAR02056;MAR02057;MAR02058;MAR02059;MAR02060;MAR02061;MAR02062;MAR02063;MAR02064;MAR02076;MAR02077;MAR02078;MAR02079;MAR02091;MAR02095;MAR02096;MAR02097;MAR02098;MAR02102;MAR02106;MAR02107;MAR02108;MAR02109;MAR02110;MAR02111;MAR02112;MAR02113;MAR02068;MAR02069;MAR02070;MAR02071;MAR02072;MAR02073;MAR02074;MAR02075;MAR02083;MAR02084;MAR02085;MAR02086;MAR02088;MAR02089;MAR02099;MAR02100	HMDB0001377;HMDB0000234;HMDB0000221;HMDB0000053;HMDB0000145;HMDB0001134;HMDB0002111;HMDB0000151;HMDB0000939;HMDB0000338;HMDB0001185;HMDB0005896;HMDB0005895;HMDB0000343;HMDB0011195;HMDB0003125;HMDB0000125;HMDB0000142;HMDB0000217;HMDB0000061;HMDB0001448;HMDB0000405;HMDB0000335;HMDB0000010;HMDB0002168	25	7	HMDB0001185;HMDB0003125;HMDB0001377;HMDB0000939;HMDB0000221;HMDB0000217;HMDB0002111	0.4496384083030997	0.381294964028777	1.0535779303311819	0.6461750388818195	0.6461750388818195
Butanoate metabolism	MAR00718;MAR00719;MAR01434;MAR01436;MAR03163;MAR04461;MAR04604;MAR05351;MAR07709	HMDB0000208;HMDB0001197;HMDB0001487;HMDB0001423;HMDB0000060;HMDB0000538;HMDB0001088;HMDB0001248;HMDB0000011;HMDB0000902;HMDB0001206;HMDB0002111;HMDB0000008;HMDB0000045;HMDB0000250;HMDB0000005	16	8	HMDB0002111;HMDB0000045;HMDB0001487;HMDB0000538;HMDB0000208;HMDB0001248;HMDB0000250;HMDB0000902	0.5390500423973809	0.17636022514071295	1.3033767325024372	0.6462744147528733	0.6462744147528733
Porphyrin metabolism	MAR03991;MAR04746;MAR04750;MAR04752;MAR04764;MAR04768;MAR04769;MAR04770;MAR04771;MAR04773;MAR06395;MAR08634;MAR20090;MAR20091;MAR20092;MAR04657;MAR04744;MAR04748;MAR04772	HMDB0001377;HMDB0002111;HMDB0001086;HMDB0001261;HMDB0001487;HMDB0000916;HMDB0000936;HMDB0000570;HMDB0000643;HMDB0000044;HMDB0000221;HMDB0000961;HMDB0001149;HMDB0001967;HMDB0000245;HMDB0000054;HMDB0000902;HMDB0002158;HMDB0001264;HMDB0000217;HMDB0000250	21	11	HMDB0000044;HMDB0000936;HMDB0000250;HMDB0000902;HMDB0001377;HMDB0002111;HMDB0000221;HMDB0001264;HMDB0001487;HMDB0000217;HMDB0001967	0.39496163943041157	0.37992831541218636	1.0608390033730823	0.6468895987165393	0.6468895987165393
Serotonin and melatonin biosynthesis	MAR04537;MAR04545;MAR04546;MAR04547;MAR04548;MAR04550;MAR04551;MAR04552;MAR04553;MAR04554;MAR04555;MAR04556;MAR04557;MAR04558;MAR04559;MAR04560;MAR04561;MAR04563;MAR04564;MAR04549	HMDB0001377;HMDB0000929;HMDB0000472;HMDB0001206;HMDB0000259;HMDB0001185;HMDB0004081;HMDB0001389;HMDB0003125;HMDB0002111;HMDB0004073;HMDB0000902;HMDB0000221;HMDB0001855;HMDB0000763;HMDB0002281;HMDB0001967;HMDB0001423;HMDB0000939;HMDB0004259;HMDB0000142;HMDB0001426;HMDB0001487;HMDB0000217;HMDB0001896	25	12	HMDB0001967;HMDB0000221;HMDB0002111;HMDB0004081;HMDB0001185;HMDB0000902;HMDB0001487;HMDB0003125;HMDB0000763;HMDB0000217;HMDB0000939;HMDB0001377	0.356399780579781	0.46557971014492755	0.979644242453693	0.6475179707349119	0.6475179707349119
Riboflavin metabolism	MAR06506;MAR06507;MAR06508;MAR06509;MAR06510;MAR06511	HMDB0000538;HMDB0000244;HMDB0001520;HMDB0002111;HMDB0001248;HMDB0001487;HMDB0000221;HMDB0001341;HMDB0000250;HMDB0000045;HMDB0001197;HMDB0000902;HMDB0000217	13	10	HMDB0000217;HMDB0001248;HMDB0001341;HMDB0000221;HMDB0000250;HMDB0000045;HMDB0001487;HMDB0000538;HMDB0000902;HMDB0002111	0.4203597197821361	0.36396396396396397	1.0865209473732995	0.6482251262957801	0.6482251262957801
Fatty acid metabolism	MAR20016;MAR20021;MAR20023;MAR20025;MAR20027;MAR20029;MAR20031;MAR20046;MAR20047;MAR20048;MAR20049;MAR20050;MAR20051;MAR20053;MAR20054;MAR20055;MAR20056;MAR20057;MAR20058;MAR20059;MAR20060;MAR20062;MAR20063;MAR20067;MAR20073;MAR20074;MAR20075;MAR20076;MAR20077;MAR20078;MAR20079;MAR20080;MAR20081;MAR20082;MAR20083;MAR20084;MAR20085;MAR20086;MAR20087;MAR20088;MAR20093;MAR20094;MAR20095;MAR20096;MAR20097	HMDB0001487;HMDB0000220;HMDB0010378;HMDB0001377;HMDB0001999;HMDB0002183;HMDB0000638;HMDB0000806;HMDB0000221;HMDB0002111;HMDB0000902;HMDB0000217;HMDB0000827;HMDB0000511;HMDB0000666;HMDB0001043;HMDB0000269;HMDB0002231;HMDB0000252;HMDB0000207;HMDB0000149	21	7	HMDB0002111;HMDB0000902;HMDB0002231;HMDB0000221;HMDB0001487;HMDB0000217;HMDB0001377	0.4665205683449111	0.35071942446043164	1.0931356525095361	0.6501591078940652	0.6501591078940652
Fructose and mannose metabolism	MAR00454;MAR04297;MAR04310;MAR04315;MAR04316;MAR04317;MAR04318;MAR04319;MAR04320;MAR04356;MAR04386;MAR04387;MAR04400;MAR04401;MAR04402;MAR04403;MAR04490;MAR04706;MAR08768;MAR02779;MAR04385;MAR04399	HMDB0000538;HMDB0001051;HMDB0000660;HMDB0000247;HMDB0000902;HMDB0000217;HMDB0006330;HMDB0001201;HMDB0001273;HMDB0001487;HMDB0000174;HMDB0000169;HMDB0002111;HMDB0000221;HMDB0001341;HMDB0000122;HMDB0000250	17	10	HMDB0000221;HMDB0001487;HMDB0000122;HMDB0000902;HMDB0000660;HMDB0000538;HMDB0000250;HMDB0002111;HMDB0001341;HMDB0000217	0.3983154752212046	0.42702702702702705	1.0295422875319484	0.6507557040324667	0.6507557040324667
Fatty acid activation (endoplasmic reticular)	MAR02942;MAR02943;MAR02944;MAR02945;MAR02946;MAR02947;MAR02948;MAR02949;MAR02951;MAR02952;MAR02954;MAR02955;MAR02956;MAR02957;MAR02959;MAR02961;MAR02962;MAR02963;MAR02964;MAR02965;MAR02966;MAR02967;MAR02968;MAR02969;MAR02970;MAR02971;MAR02972;MAR02973;MAR02974;MAR02975;MAR02976;MAR02977;MAR02978;MAR02979;MAR02980;MAR02981;MAR02982;MAR02983;MAR02984;MAR02985;MAR02986;MAR02987;MAR02988;MAR02989;MAR02990;MAR02991;MAR02992;MAR02994;MAR02996;MAR02998;MAR02999;MAR03000;MAR03001;MAR03002;MAR03003	HMDB0000538;HMDB0001423;HMDB0000638;HMDB0000910;HMDB0000806;HMDB0000521;HMDB0000826;HMDB0000220;HMDB0003229;HMDB0002259;HMDB0000827;HMDB0000207;HMDB0000573;HMDB0003231;HMDB0000772;HMDB0002212;HMDB0002231;HMDB0010378;HMDB0002345;HMDB0000944;HMDB0002068;HMDB0002884;HMDB0001160;HMDB0002003;HMDB0002368;HMDB0002356;HMDB0001388;HMDB0006547;HMDB0002177;HMDB0001999;HMDB0006528;HMDB0013025;HMDB0002183;HMDB0002823;HMDB0000673;HMDB0003073;HMDB0002925;HMDB0001043;HMDB0002226;HMDB0000045;HMDB0003571;HMDB0000250;HMDB0013109;HMDB0001521;HMDB0001338;HMDB0006532;HMDB0001114;HMDB0001322;HMDB0004258;HMDB0006290;HMDB0006267;HMDB0001064;HMDB0006368;HMDB0003947;HMDB0006523;HMDB0006516	56	8	HMDB0002226;HMDB0000250;HMDB0002177;HMDB0000538;HMDB0002356;HMDB0000826;HMDB0000045;HMDB0002231	0.39478547681638154	0.5234521575984991	0.9545573960516067	0.6516509041868067	0.6516509041868067
Fatty acid activation (cytosolic)	MAR00156;MAR00165;MAR00168;MAR00171;MAR00174;MAR00177;MAR00180;MAR00184;MAR00188;MAR00192;MAR00196;MAR00200;MAR00204;MAR00209;MAR00213;MAR00217;MAR00226;MAR00233;MAR00237;MAR00241;MAR00245;MAR00249;MAR00255;MAR00259;MAR00263;MAR00267;MAR00271;MAR00275;MAR00279;MAR00283;MAR00289;MAR00293;MAR00297;MAR00301;MAR00305;MAR00309;MAR00313;MAR00319;MAR00323;MAR00327;MAR00331;MAR00337;MAR00341;MAR00345;MAR00349;MAR00353;MAR00357;MAR00361;MAR00365;MAR00369;MAR00373;MAR00377;MAR00381;MAR00385;MAR00389;MAR00393;MAR00397;MAR00401;MAR00405;MAR00409;MAR00413;MAR00417;MAR00421;MAR00425;MAR00429;MAR00433;MAR00437	HMDB0000538;HMDB0000039;HMDB0001423;HMDB0000892;HMDB0000535;HMDB0000666;HMDB0000482;HMDB0000847;HMDB0000511;HMDB0000947;HMDB0000638;HMDB0000910;HMDB0000806;HMDB0000521;HMDB0000826;HMDB0000220;HMDB0003229;HMDB0002259;HMDB0000827;HMDB0003231;HMDB0000207;HMDB0000573;HMDB0000772;HMDB0002212;HMDB0002231;HMDB0010378;HMDB0002345;HMDB0000944;HMDB0002068;HMDB0002884;HMDB0001160;HMDB0002003;HMDB0002368;HMDB0002356;HMDB0001388;HMDB0006547;HMDB0002177;HMDB0001999;HMDB0006528;HMDB0013025;HMDB0002183;HMDB0002823;HMDB0000673;HMDB0003073;HMDB0002925;HMDB0001043;HMDB0002226;HMDB0000045;HMDB0001088;HMDB0000250;HMDB0013037;HMDB0002845;HMDB0012969;HMDB0001070;HMDB0013028;HMDB0006404;HMDB0013114;HMDB0003571;HMDB0013109;HMDB0001521;HMDB0001338;HMDB0006532;HMDB0001114;HMDB0001322;HMDB0004258;HMDB0006290;HMDB0006267;HMDB0001064;HMDB0006368;HMDB0003947;HMDB0006523;HMDB0006516	72	8	HMDB0000826;HMDB0002231;HMDB0002356;HMDB0002226;HMDB0000250;HMDB0000045;HMDB0000538;HMDB0002177	0.39478547681638154	0.5234521575984991	0.9545573960516067	0.6516509041868067	0.6516509041868067
N-glycan metabolism	MAR01532;MAR07256;MAR07258;MAR07259;MAR07260;MAR07261;MAR07286;MAR07287;MAR07288;MAR07289;MAR07290;MAR07291;MAR07292;MAR07293;MAR07308;MAR07309;MAR07310;MAR07311;MAR07312;MAR07313;MAR07314;MAR07315;MAR07316;MAR07317;MAR07318;MAR07319;MAR07320;MAR07321;MAR07322;MAR07428;MAR07429;MAR07574;MAR07575;MAR07580;MAR07582;MAR07585;MAR07586;MAR08691;MAR08692;MAR00055;MAR00471;MAR00472;MAR00473;MAR00474;MAR00475;MAR00480;MAR00485;MAR00554;MAR11409;MAR07265;MAR07266;MAR07267;MAR07268;MAR07269;MAR07270;MAR07271;MAR07278;MAR07301;MAR07302;MAR07303;MAR07304;MAR07305;MAR07306;MAR07323;MAR07325;MAR07326;MAR07327;MAR07328;MAR07329;MAR07332;MAR07578;MAR07587;MAR08693;MAR08694;MAR08695;MAR01818	HMDB0001120;HMDB0000961;HMDB0002111;HMDB0000221;HMDB0006537;HMDB0006535;HMDB0000250;HMDB0000217;HMDB0000295;HMDB0001201;HMDB0000122;HMDB0000169;HMDB0000215;HMDB0000174	14	6	HMDB0002111;HMDB0000217;HMDB0000295;HMDB0000221;HMDB0000122;HMDB0000250	0.42698059229319085	0.5027829313543599	0.9475538828096549	0.652417650418014	0.652417650418014
Vitamin D metabolism	MAR02114;MAR02115;MAR02117;MAR02118;MAR02129;MAR02130;MAR02131;MAR02132;MAR02133;MAR02134;MAR02135;MAR02136;MAR02137;MAR02138;MAR02139;MAR02140;MAR02142;MAR02143;MAR02144;MAR02145;MAR07996;MAR07999;MAR08003;MAR08004;MAR08005;MAR08006;MAR08008;MAR08011;MAR08012;MAR08013;MAR08014;MAR02767;MAR03435;MAR03436	HMDB0000032;HMDB0000221;HMDB0001377;HMDB0000876;HMDB0003550;HMDB0006720;HMDB0002111;HMDB0000217;HMDB0001487;HMDB0000900;HMDB0001438;HMDB0006225;HMDB0006500;HMDB0006505;HMDB0001903;HMDB0000902;HMDB0003125;HMDB0006227;HMDB0006560	19	7	HMDB0003125;HMDB0001377;HMDB0001487;HMDB0000217;HMDB0002111;HMDB0000221;HMDB0000902	0.4190872548605866	0.45143884892086333	0.9819914723711771	0.6538104183077824	0.6538104183077824
Cholesterol metabolism	MAR01437;MAR01451;MAR01457;MAR01531;MAR01570;MAR01576;MAR03105;MAR00101;MAR00113;MAR00114;MAR00115;MAR00117;MAR00118;MAR00222;MAR00227;MAR00228;MAR00285;MAR00441;MAR01497;MAR01508;MAR01510;MAR01520;MAR01578;MAR01628;MAR01714;MAR01715;MAR02147;MAR02200;MAR02206;MAR02300;MAR02301;MAR02337;MAR02339;MAR03061;MAR03419;MAR03420;MAR03434;MAR03536;MAR03598;MAR08218;MAR09942;MAR09943;MAR09944;MAR09945;MAR09946;MAR09947;MAR11408;MAR11506;MAR01460;MAR01577;MAR04630;MAR01397;MAR01446;MAR01449;MAR01468;MAR01498;MAR02026;MAR02302	HMDB0001206;HMDB0002111;HMDB0000538;HMDB0001120;HMDB0001487;HMDB0001377;HMDB0000032;HMDB0000221;HMDB0000060;HMDB0001423;HMDB0001023;HMDB0000217;HMDB0000902;HMDB0001197;HMDB0002719;HMDB0003896;HMDB0001251;HMDB0001170;HMDB0000227;HMDB0000067;HMDB0001967;HMDB0000961;HMDB0001341;HMDB0000250;HMDB0006841;HMDB0000045;HMDB0001248;HMDB0000142;HMDB0006283;HMDB0006840;HMDB0003073;HMDB0000673;HMDB0003231;HMDB0001999;HMDB0001043;HMDB0002183	36	13	HMDB0002719;HMDB0000217;HMDB0000250;HMDB0000902;HMDB0001248;HMDB0000538;HMDB0001377;HMDB0002111;HMDB0000221;HMDB0000045;HMDB0001487;HMDB0001341;HMDB0001967	0.3714050228774381	0.3912248628884826	1.0400766131370383	0.6567900706506521	0.6567900706506521
Beta-alanine metabolism	MAR04078;MAR04079;MAR04174;MAR04330;MAR04347;MAR04425;MAR04427;MAR04688;MAR04689;MAR04735;MAR07991;MAR07992;MAR07993;MAR00039;MAR00043;MAR00088;MAR01655	HMDB0002111;HMDB0001377;HMDB0001256;HMDB0000217;HMDB0000191;HMDB0000148;HMDB0000026;HMDB0000538;HMDB0000056;HMDB0000177;HMDB0000033;HMDB0001080;HMDB0000902;HMDB0001257;HMDB0000002;HMDB0003125;HMDB0000221;HMDB0001967;HMDB0000208;HMDB0000045;HMDB0000250;HMDB0000112;HMDB0001487;HMDB0000051;HMDB0001423;HMDB0000700	26	15	HMDB0003125;HMDB0000051;HMDB0000045;HMDB0000902;HMDB0000221;HMDB0001967;HMDB0000208;HMDB0000191;HMDB0000148;HMDB0000217;HMDB0000538;HMDB0001487;HMDB0001377;HMDB0002111;HMDB0000250	0.45662013715532485	0.14972273567467653	1.3103831707842164	0.6571883262054427	0.6571883262054427
Pyrimidine metabolism	MAR04006;MAR04028;MAR04030;MAR04670;MAR04673;MAR04675;MAR06614;MAR06615;MAR06616;MAR04635;MAR03793;MAR03931;MAR03969;MAR03970;MAR04008;MAR04032;MAR04034;MAR04056;MAR04059;MAR04060;MAR04127;MAR04177;MAR04179;MAR04182;MAR04183;MAR04192;MAR04194;MAR04210;MAR04211;MAR04343;MAR04345;MAR04346;MAR04470;MAR04471;MAR04472;MAR04484;MAR04485;MAR04510;MAR04512;MAR04513;MAR04514;MAR04577;MAR04579;MAR04580;MAR04608;MAR04637;MAR04642;MAR04643;MAR04644;MAR04672;MAR04676;MAR04736;MAR04819;MAR05299;MAR05352;MAR05415;MAR05416;MAR05417;MAR06612;MAR06613;MAR06621;MAR06622;MAR06623;MAR06624;MAR06627;MAR07744;MAR08072;MAR08637;MAR00096;MAR02120;MAR02124;MAR02125;MAR08274;MAR11398;MAR04036;MAR04050;MAR04575	HMDB0001341;HMDB0000285;HMDB0001191;HMDB0000538;HMDB0001508;HMDB0001342;HMDB0000161;HMDB0000221;HMDB0000296;HMDB0002111;HMDB0000295;HMDB0000641;HMDB0000595;HMDB0001227;HMDB0000095;HMDB0000089;HMDB0001273;HMDB0000263;HMDB0000300;HMDB0000076;HMDB0000217;HMDB0001487;HMDB0000262;HMDB0000014;HMDB0000226;HMDB0001274;HMDB0001409;HMDB0000079;HMDB0002031;HMDB0000960;HMDB0000012;HMDB0001440;HMDB0000630;HMDB0001532;HMDB0000243;HMDB0000148;HMDB0001967;HMDB0000191;HMDB0000273;HMDB0001201;HMDB0000250;HMDB0000026;HMDB0000902;HMDB0003224;HMDB0000051	45	14	HMDB0000295;HMDB0001341;HMDB0000051;HMDB0000902;HMDB0000221;HMDB0001967;HMDB0000191;HMDB0000148;HMDB0000217;HMDB0000538;HMDB0001487;HMDB0000273;HMDB0002111;HMDB0000250	0.48311436752509634	0.11926605504587157	1.370974384951031	0.6584834503394765	0.6584834503394765
Cholesterol biosynthesis 3 (Kandustch-Russell pathway)	MAR01535;MAR01536;MAR01538;MAR01539;MAR01540;MAR01543;MAR01544;MAR01545;MAR01546;MAR01547;MAR01548;MAR01549;MAR01550;MAR01551;MAR01552;MAR01553	HMDB0001251;HMDB0000221;HMDB0006839;HMDB0001377;HMDB0006840;HMDB0000217;HMDB0006841;HMDB0002111;HMDB0000142;HMDB0001967;HMDB0001170	11	5	HMDB0001967;HMDB0000221;HMDB0002111;HMDB0000217;HMDB0001377	0.47688058943504863	0.48007590132827327	0.9849774974649118	0.6602880969082492	0.6602880969082492
Pyruvate metabolism	MAR01568;MAR03853;MAR03854;MAR03855;MAR03857;MAR04087;MAR04089;MAR04091;MAR04093;MAR04095;MAR04101;MAR04103;MAR04143;MAR04193;MAR08497;MAR08498;MAR08499;MAR08500;MAR08501;MAR08502;MAR08503;MAR08504;MAR08506;MAR08507;MAR08508;MAR08509;MAR08511;MAR08512;MAR08514;MAR04280;MAR01474;MAR03859	HMDB0000990;HMDB0002111;HMDB0000902;HMDB0000125;HMDB0001487;HMDB0000221;HMDB0000156;HMDB0000217;HMDB0001206;HMDB0001273;HMDB0000223;HMDB0000538;HMDB0000595;HMDB0000243;HMDB0000263;HMDB0001659;HMDB0001377;HMDB0006961;HMDB0001881;HMDB0000190;HMDB0000042;HMDB0001967;HMDB0001423;HMDB0001201;HMDB0001341	25	11	HMDB0001487;HMDB0000990;HMDB0000223;HMDB0001341;HMDB0000902;HMDB0000538;HMDB0001377;HMDB0001967;HMDB0000221;HMDB0000217;HMDB0002111	0.49173579550846075	0.16308243727598568	1.320767535759572	0.6603894690303223	0.6603894690303223
Formation and hydrolysis of cholesterol esters	MAR03538;MAR03539;MAR03540;MAR03541;MAR03542;MAR03543;MAR03544;MAR03545;MAR03546;MAR03547;MAR03548;MAR03549;MAR03550;MAR03551;MAR03552;MAR03553;MAR03554;MAR03555;MAR03556;MAR03557;MAR03558;MAR03559;MAR03560;MAR03561;MAR03562;MAR03563;MAR03564;MAR03565;MAR03566;MAR03567;MAR03568;MAR03569;MAR03570;MAR03571;MAR03572;MAR03573;MAR03574;MAR03575;MAR03576;MAR03577;MAR03578;MAR03579;MAR03580;MAR03581;MAR03582;MAR03583;MAR03584;MAR03585;MAR03586;MAR03587;MAR03588;MAR03589;MAR03590;MAR03591;MAR03592;MAR03593;MAR03594;MAR03595;MAR03596;MAR03625;MAR03626;MAR03627;MAR03628;MAR03629;MAR03630;MAR03631;MAR03632;MAR03633;MAR03634;MAR03635;MAR03636;MAR03637;MAR03638;MAR03639;MAR03640;MAR03641;MAR03642;MAR03643;MAR03644;MAR03645;MAR03646;MAR03647;MAR03648;MAR03649;MAR03650;MAR03651;MAR03652;MAR03653;MAR03654;MAR03655;MAR03656;MAR03657;MAR03658;MAR03659;MAR03660;MAR03661;MAR03662;MAR03663;MAR03664;MAR03665;MAR03666;MAR03667;MAR03668;MAR03669;MAR03670;MAR03671;MAR03672;MAR03673;MAR03674;MAR03675;MAR03676;MAR03677;MAR03678;MAR03679;MAR03680;MAR03681;MAR03682;MAR03683;MAR03684;MAR03685;MAR03686;MAR03687;MAR03688;MAR03689;MAR03690;MAR03691;MAR03692;MAR03693;MAR03694;MAR03695;MAR03696;MAR03697;MAR03698;MAR03699;MAR03700;MAR03701;MAR03702;MAR03703;MAR03704;MAR03705;MAR03706;MAR03707;MAR03708;MAR03709;MAR03710;MAR03711;MAR03712;MAR03713;MAR03714;MAR03715;MAR03716;MAR03717;MAR03718;MAR03719;MAR03720;MAR03721;MAR03722;MAR03723;MAR03724;MAR03725;MAR03726;MAR03727;MAR03728;MAR03729;MAR03730;MAR03731;MAR03732;MAR03733;MAR03734;MAR03735;MAR03736;MAR03737;MAR03738;MAR03739;MAR03740;MAR03741;MAR03742	HMDB0002111;HMDB0000067;HMDB0003571;HMDB0013109;HMDB0001521;HMDB0001338;HMDB0006532;HMDB0001114;HMDB0001322;HMDB0004258;HMDB0006290;HMDB0006267;HMDB0001064;HMDB0006368;HMDB0003947;HMDB0006523;HMDB0006516;HMDB0000638;HMDB0000910;HMDB0000806;HMDB0000521;HMDB0000826;HMDB0000220;HMDB0003229;HMDB0002259;HMDB0000827;HMDB0000207;HMDB0003231;HMDB0000573;HMDB0000772;HMDB0002212;HMDB0002231;HMDB0010378;HMDB0002345;HMDB0000944;HMDB0002068;HMDB0002884;HMDB0001160;HMDB0002003;HMDB0002368;HMDB0002356;HMDB0001388;HMDB0006547;HMDB0002177;HMDB0001999;HMDB0006528;HMDB0013025;HMDB0002183;HMDB0002823;HMDB0000673;HMDB0003073;HMDB0002925;HMDB0001043;HMDB0002226;HMDB0001423	55	6	HMDB0000826;HMDB0002177;HMDB0002231;HMDB0002356;HMDB0002226;HMDB0002111	0.4934430824638383	0.3432282003710575	1.095047215666226	0.6619665581122905	0.6619665581122905
Linoleate metabolism	MAR02437;MAR02438;MAR02439;MAR02440;MAR02441;MAR02442;MAR02443;MAR02447;MAR02449;MAR02450;MAR02455;MAR02456;MAR02457;MAR02458;MAR02459;MAR02460;MAR02461;MAR02462;MAR02463;MAR02464;MAR02465;MAR02466;MAR02467;MAR02468;MAR02469;MAR02470;MAR02446;MAR02451;MAR02452;MAR02453;MAR02454	HMDB0000673;HMDB0001377;HMDB0000221;HMDB0003871;HMDB0002111;HMDB0004701;HMDB0004704;HMDB0000935;HMDB0000295;HMDB0004702;HMDB0004705;HMDB0000217;HMDB0000847;HMDB0000044;HMDB0000784;HMDB0004362	16	7	HMDB0000221;HMDB0002111;HMDB0001377;HMDB0004701;HMDB0000217;HMDB0000295;HMDB0000044	0.39494458947366445	0.5215827338129496	0.9254211728564495	0.6678886667070635	0.6678886667070635
Amino sugar and nucleotide sugar metabolism	MAR03986;MAR03988;MAR04124;MAR04158;MAR04299;MAR04300;MAR04494;MAR04524;MAR04525;MAR04526;MAR04528;MAR04529;MAR04530;MAR04531;MAR04533;MAR04534;MAR04536;MAR04628;MAR04629;MAR07696;MAR08366;MAR08368;MAR08371;MAR08372;MAR08373;MAR08375;MAR08376;MAR08377;MAR08672;MAR08674;MAR08675;MAR04527;MAR04532;MAR07697;MAR08367	HMDB0002111;HMDB0000935;HMDB0000285;HMDB0000641;HMDB0000538;HMDB0001514;HMDB0000215;HMDB0000263;HMDB0000230;HMDB0001487;HMDB0001377;HMDB0000902;HMDB0000217;HMDB0001206;HMDB0001342;HMDB0006480;HMDB0000243;HMDB0001399;HMDB0000221;HMDB0001967;HMDB0000250;HMDB0000148;HMDB0001341;HMDB0000295;HMDB0001423;HMDB0000042;HMDB0000425;HMDB0006354	28	13	HMDB0000221;HMDB0001487;HMDB0001967;HMDB0000230;HMDB0000295;HMDB0000902;HMDB0001377;HMDB0000538;HMDB0000148;HMDB0000250;HMDB0002111;HMDB0001341;HMDB0000217	0.4746063614267254	0.13528336380255943	1.3290799708136856	0.6702025656654228	0.6702025656654228
